Product;Month;Value
55;Jan 2019;141.5737436
55;Feb 2019;160.14
55;Mar 2019;50.24
55;Apr 2019;157
55;May 2019;94.2
55;Jun 2019;47.1
55;Jul 2019;51.97526316
55;Aug 2019;607.7895028
55;Sep 2019;257.3268293
55;Oct 2019;0
55;Nov 2019;106.5383529
55;Dec 2019;0
56;Jan 2019;34.26625641
56;Feb 2019;56.52
56;Mar 2019;37.68
56;Apr 2019;0
56;May 2019;50.24
56;Jun 2019;0
56;Jul 2019;1.404736842
56;Aug 2019;161.5104972
56;Sep 2019;72.37317073
56;Oct 2019;0
56;Nov 2019;22.82964706
56;Dec 2019;18.212
57;Jan 2019;193.4459202
57;Feb 2019;251.6606017
57;Mar 2019;30.01523389
57;Apr 2019;48.85651672
57;May 2019;68.31981607
57;Jun 2019;0
57;Jul 2019;290.6812429
57;Aug 2019;180.0798289
57;Sep 2019;127.1578085
57;Oct 2019;128.9732634
57;Nov 2019;44.34653874
57;Dec 2019;16.38764979
58;Jan 2019;2330.279316
58;Feb 2019;15781.34963
58;Mar 2019;390.1980405
58;Apr 2019;55.83601911
58;May 2019;51.23986205
58;Jun 2019;1927.749216
58;Jul 2019;1084.241036
58;Aug 2019;0
58;Sep 2019;1589.472606
58;Oct 2019;0
58;Nov 2019;0
58;Dec 2019;0
59;Jan 2019;25609.26375
59;Feb 2019;20785.89147
59;Mar 2019;16985.28735
59;Apr 2019;18042.01368
59;May 2019;20905.86372
59;Jun 2019;10046.1074
59;Jul 2019;5008.437816
59;Aug 2019;1123.698132
59;Sep 2019;4620.067041
59;Oct 2019;1690.671257
59;Nov 2019;1504.371045
59;Dec 2019;622.7306921
60;Jan 2019;0
60;Feb 2019;0
60;Mar 2019;0
60;Apr 2019;0
60;May 2019;0
60;Jun 2019;0
60;Jul 2019;0
60;Aug 2019;0
60;Sep 2019;0
60;Oct 2019;0
60;Nov 2019;0
60;Dec 2019;0
61;Jan 2019;28481.19164
61;Feb 2019;5065.067807
61;Mar 2019;13450.15981
61;Apr 2019;8385.872121
61;May 2019;21831.02789
61;Jun 2019;9927.427329
61;Jul 2019;517.4126124
61;Aug 2019;1296.574768
61;Sep 2019;2373.612425
61;Oct 2019;5105.65897
61;Nov 2019;9503.804379
61;Dec 2019;3870.762881
62;Jan 2019;708.3096771
62;Feb 2019;0
62;Mar 2019;8814.473685
62;Apr 2019;8521.972417
62;May 2019;9132.082081
62;Jun 2019;9609.877957
62;Jul 2019;30820.93219
62;Aug 2019;9817.95227
62;Sep 2019;10524.95777
62;Oct 2019;27361.9582
62;Nov 2019;26798.95449
62;Dec 2019;11602.45605
63;Jan 2019;0
63;Feb 2019;0
63;Mar 2019;0
63;Apr 2019;0
63;May 2019;0
63;Jun 2019;0
63;Jul 2019;0
63;Aug 2019;0
63;Sep 2019;7128.784637
63;Oct 2019;0
63;Nov 2019;0
63;Dec 2019;0
64;Jan 2019;0
64;Feb 2019;0
64;Mar 2019;0
64;Apr 2019;0
64;May 2019;0
64;Jun 2019;0
64;Jul 2019;0
64;Aug 2019;0
64;Sep 2019;10.59648404
64;Oct 2019;0
64;Nov 2019;0
64;Dec 2019;0
65;Jan 2019;0
65;Feb 2019;0
65;Mar 2019;0
65;Apr 2019;0
65;May 2019;0
65;Jun 2019;0
65;Jul 2019;0
65;Aug 2019;0
65;Sep 2019;0
65;Oct 2019;0
65;Nov 2019;0
65;Dec 2019;0
66;Jan 2019;28025.8497
66;Feb 2019;24395.15048
66;Mar 2019;24495.76588
66;Apr 2019;28483.34925
66;May 2019;22300.72663
66;Jun 2019;29602.6581
66;Jul 2019;16254.8951
66;Aug 2019;27148.835
66;Sep 2019;15264.23526
66;Oct 2019;22099.2883
66;Nov 2019;19781.96755
66;Dec 2019;12113.75073
67;Jan 2019;0
67;Feb 2019;0
67;Mar 2019;0
67;Apr 2019;0
67;May 2019;0
67;Jun 2019;0
67;Jul 2019;0
67;Aug 2019;0
67;Sep 2019;7486.415973
67;Oct 2019;0
67;Nov 2019;0
67;Dec 2019;0
68;Jan 2019;0
68;Feb 2019;0
68;Mar 2019;0
68;Apr 2019;0
68;May 2019;0
68;Jun 2019;0
68;Jul 2019;0
68;Aug 2019;0
68;Sep 2019;0
68;Oct 2019;0
68;Nov 2019;0
68;Dec 2019;0
